Title,Company,Reward,Link
"프론트엔드 ( Flutter, Next js ) 개발자 JD",용감한파커들,합격보상금 100만원,https://www.wanted.co.kr/wd/214491
"프론트엔드 (next.js, react) 개발자",유리프트,합격보상금 100만원,https://www.wanted.co.kr/wd/201959
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr/wd/208965
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/227927
"Front End 개발자(React, Next.js )",에이프로코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/217015
프론트엔드 웹 개발자 React.js / Next.js (1~3년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr/wd/207121
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/226913
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
"프론트엔드 ( Flutter, Next js ) 개발자 JD",용감한파커들,합격보상금 100만원,https://www.wanted.co.kr/wd/214491
"프론트엔드 (next.js, react) 개발자",유리프트,합격보상금 100만원,https://www.wanted.co.kr/wd/201959
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr/wd/208965
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr/wd/227927
"Front End 개발자(React, Next.js )",에이프로코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/217015
프론트엔드 웹 개발자 React.js / Next.js (1~3년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr/wd/207121
[에어서플라이] 프론트엔드 엔지니어 (Next.js),로랩스,합격보상금 100만원,https://www.wanted.co.kr/wd/226913
"대기업 커머스 재구축 프로젝트 개발(ReactJS, NextJS, JAVA)",이그레브,합격보상금 100만원,https://www.wanted.co.kr/wd/224679
"Global 서비스 Front-end 개발 (React, Next.js)",숲(SOOP),합격보상금 100만원,https://www.wanted.co.kr/wd/126671
"[400억↑투자] Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/107946
